"","week","year","tmra"
"450",34,2018,0.0361256508195465
"451",35,2018,0.0364370758604859
"452",36,2018,0.0365897534107238
"453",37,2018,0.036854611056869
"454",38,2018,0.0375636789578406
"455",39,2018,0.0382369135878799
"456",40,2018,0.0387756222435388
"457",41,2018,0.0395972099242137
"458",42,2018,0.0398478164913055
"459",43,2018,0.039723203692107
"460",44,2018,0.0405384909465785
"461",45,2018,0.0416676544968504
"462",46,2018,0.042148321714388
"463",47,2018,0.0423470233683446
"464",48,2018,0.042079369793529
"465",49,2018,0.0418297095145724
"466",50,2018,0.0417564702883837
"467",51,2018,0.041316460571876
"468",52,2018,0.0406770368699706
"469",1,2019,-0.00466927277762674
"470",2,2019,-0.00384147333427692
"471",3,2019,-0.00204267793999881
"472",4,2019,-0.000677638055542575
"473",5,2019,0.000508442290681925
"474",6,2019,0.00113291835758424
"475",7,2019,0.000804409391926924
"476",8,2019,0.000515828723631315
"477",9,2019,0.000168469329162693
"478",10,2019,-0.000196034748956758
"479",11,2019,-0.000796065835431104
"480",12,2019,-0.00124837063122462
"481",13,2019,-0.0012134339760268
"482",14,2019,-0.000979610923050546
"483",15,2019,-0.000389165017603499
"484",16,2019,2.69820424979702e-05
"485",17,2019,0.000699925586262479
"486",18,2019,0.00158342745603172
"487",19,2019,0.00215505134067999
"488",20,2019,0.00240363611847066
"489",21,2019,0.00256006538881188
"490",22,2019,0.00342801995078867
"491",23,2019,0.00410756851883008
"492",24,2019,0.00365435993170609
"493",25,2019,0.00382000139845666
"494",26,2019,0.00426466252978065
"495",27,2019,0.00571076697600325
"496",28,2019,0.00581551429517605
"497",29,2019,0.00601664959855387
"498",30,2019,0.00649805633238485
"499",31,2019,0.00615706510484745
"500",32,2019,0.00622009923024011
"501",33,2019,0.00641477037103639
"502",34,2019,0.00586775888239425
"503",35,2019,0.00569650582685447
"504",36,2019,0.00573563050457667
"505",37,2019,0.0060801211858387
"506",38,2019,0.00648978224682274
"507",39,2019,0.006511580773526
"508",40,2019,0.00613416209354021
"509",41,2019,0.00632564514005386
"510",42,2019,0.00623083880799944
"511",43,2019,0.00648261371632011
"512",44,2019,0.0068564474069589
"513",45,2019,0.0070002538891901
"514",46,2019,0.00759939217776279
"515",47,2019,0.0084794527880359
"516",48,2019,0.00922930722981217
"517",49,2019,0.00867086239528353
"518",50,2019,0.00835370845026033
"519",51,2019,0.00753267059107179
"520",52,2019,0.00600832930620744
